resume_index,job_1_match_score,job_2_match_score,job_3_match_score
130,"('JDA Allocation Planning', np.float64(0.9422274983777409))","('Subject Matter Expert', np.float64(0.935012266056033))","('Lead Data Analyst', np.float64(0.9334124996934896))"
131,"('Data science trainer', np.float64(0.9532964394264389))","('Data Science Instructor', np.float64(0.9462027100004685))","('English Teacher', np.float64(0.8950061712103434))"
132,"('Senior Content Writer', np.float64(0.8229408916291686))","('Inside Sales Representative', np.float64(0.8229027056848299))","('Content Development Manager', np.float64(0.8020382150105552))"
133,"('Marketing Executive', np.float64(0.9489343853906999))","('Senior Content Writer', np.float64(0.9257714221425668))","('Account Manager', np.float64(0.9164873709820871))"
134,"('Business Analyst', np.float64(0.9760961680653819))","('Senior Manager Finance Account', np.float64(0.9376253820215611))","('Senior Manager - Finance and Accounts', np.float64(0.9318100830173645))"
135,"('Hydraulic Application Engineer', np.float64(0.8377184494519492))","('MuleSoft Integration Developer', np.float64(0.8202639905560462))","('MuleSoft Integration Developer', np.float64(0.8202639905560462))"
136,"('Analytics Lead', np.float64(0.8395716534805622))","('Business Analyst -Healthcare -Chennai', np.float64(0.8324291604626148))","('Manager, Business Analyst for Emerging Markets', np.float64(0.8249816275123462))"
137,"('Senior Data Analyst', np.float64(0.8356999196053125))","('Senior Data Analyst', np.float64(0.8356999196053125))","('Senior Data Analyst', np.float64(0.8356999196053125))"
138,"('Game Developer', np.float64(0.92152877137851))","('RPA Reliability Engineer', np.float64(0.8773333815932024))","('Business Analyst (Finance - RFC)', np.float64(0.8703767335673308))"
139,"('Social Media Marketing Specialist', np.float64(0.9711302929399216))","('Social Media Marketing Manager', np.float64(0.9598904552198092))","('Social Media Marketing Specialist', np.float64(0.9157058835280445))"
140,"('US Collection- Voice Process', np.float64(0.903587590214497))","('Regional Growth &Community Manager (India)', np.float64(0.8957387294768122))","('Mobile Developer (SDE-2)', np.float64(0.8809727429987491))"
141,"('Backend Developer (Laravel)', np.float64(0.9573730698990393))","('Senior Marketing Executive- Affiliate Marketing', np.float64(0.9492441025674413))","('Solution Engineer (Power BI)', np.float64(0.9318991141585754))"
142,"('Senior Financial Analyst', np.float64(0.9072883389358836))","('Senior Financial Analyst', np.float64(0.9072883389358836))","('Technical Writer', np.float64(0.9006142219764057))"
143,"('Unreal developer', np.float64(0.8068934870620273))","('Unreal developer', np.float64(0.8068934870620273))","('Architect', np.float64(0.7982800611650839))"
144,"('Electrical Engineer', np.float64(0.8930825043234186))","('Senior Electrical Engineer', np.float64(0.8930825043234186))","('ISS Navigation Engineer', np.float64(0.8453956506841729))"
145,"('Assistant Manager-Fund Accounting', np.float64(0.8846225514484228))","('Assistant Manager-Fund Accounting', np.float64(0.8846225514484228))","('Account Executive', np.float64(0.8825110105628176))"
146,"('Full Stack Developer', np.float64(0.9457571556032943))","('Full - Stack Developer', np.float64(0.9451113336224963))","('Salesforce Release Specialist', np.float64(0.9355439878088598))"
147,"('Quality Analyst', np.float64(0.9545081600728328))","('Quality Analyst', np.float64(0.9545081600728328))","('Service Desk Analyst', np.float64(0.9284526261745722))"
148,"('Sales And Marketing Specialist', np.float64(0.964570741617248))","('Sales Business Analyst', np.float64(0.9569709062576294))","('Sales Business Analyst', np.float64(0.9569709062576294))"
149,"('Lead Control System Engineer', np.float64(0.9137303062450688))","('Lead Inverter Control Engineer', np.float64(0.8811489415610294))","('Technical Architect', np.float64(0.8611084350663079))"
150,"('ISS Navigation Engineer', np.float64(0.8941875771410017))","('ISS Navigation Engineer', np.float64(0.8941875771410017))","('TCS Hiring for SCCM_Kolkata', np.float64(0.8633860254115222))"
151,"('Graphic Design Intern', np.float64(0.9153503396872541))","('OutSystems Low Code - Immediate Joiners', np.float64(0.8841242652680582))","('OutSystems Low Code - Immediate Joiners', np.float64(0.8841242652680582))"
152,"('Data Engineer', np.float64(0.9403611734708781))","('Sr. Digital Signal Processing Engineer', np.float64(0.9121120798276552))","('Sr. Digital Signal Processing Engineer', np.float64(0.9121120798276552))"
153,"('Senior Marketing Executive- Affiliate Marketing', np.float64(0.9477097042118715))","('MSP Program Manager', np.float64(0.9458286685604561))","('Sales Head', np.float64(0.9237520876493828))"
154,"('Robotic Process Automation Consultant', np.float64(0.8424123850375569))","('Front Office Executive', np.float64(0.8097002782064117))","('Associate Business Analyst', np.float64(0.78952161208805))"
